x,y,z,r,g,b
-36.7420,-14.4945,-32.7018,25,42,8
-3.1723,-2.0367,-25.2569,228,166,130
24.2174,-13.9168,-38.1174,129,132,97
11.9018,12.2884,-35.9002,63,69,77
-11.8276,35.2355,-37.9862,34,27,32
-0.9866,-1.8080,-25.2981,224,169,130
-3.9288,-4.2439,-25.8732,219,145,105
30.7752,-3.8364,-38.1861,155,144,119
16.9474,-22.4862,-36.3428,173,163,154
-30.6147,44.0296,-31.7446,226,231,232
18.0474,-22.3875,-36.3754,198,193,189
18.8802,31.2908,-35.9024,152,157,176
-2.3391,-3.5983,-25.7024,214,153,116
-0.1779,-12.6940,-37.3396,202,187,149
24.5684,-14.5471,-38.0763,130,125,79
3.1620,-11.0159,-29.5734,220,150,110
1.4637,-34.2569,-36.2550,176,165,157
-2.4482,-1.1313,-25.4694,173,109,84
3.8631,-10.9728,-29.4811,98,41,27
-1.6994,-13.4146,-37.2946,113,103,56
-25.5850,-27.6462,-36.5354,30,33,20
9.5767,-24.5929,-36.4997,195,190,183
-5.6509,-12.8843,-37.3114,216,206,196
-36.5271,-16.2577,-32.4329,15,27,4
-5.4206,-12.8418,-37.3541,226,220,205
-6.8048,-5.8842,-26.2105,126,123,128
-23.8664,-27.0095,-36.1158,27,43,25
23.4759,-37.4702,-36.9011,49,60,20
-4.2076,-13.5699,-37.2583,138,131,81
-2.4393,-13.6308,-37.3123,175,157,105
5.2808,-25.3643,-36.1439,159,143,127
0.9067,-15.4748,-37.2706,98,114,45
19.0199,-21.3935,-36.3968,121,119,88
-2.2619,-13.7952,-37.2729,72,78,24
21.3449,-21.2600,-36.4667,158,164,160
5.2848,24.9442,-38.3580,43,33,33
-2.9556,-15.3262,-37.1510,44,56,24
-3.3231,-13.0181,-37.3123,190,169,123
-42.5651,-33.0421,-35.1019,57,65,37
-2.9577,-15.5449,-37.1447,45,48,23
16.1589,-23.9413,-36.3597,195,191,191
33.4494,-48.1396,-37.5805,101,97,67
-1.3101,-13.4582,-37.2845,96,101,44
-1.4239,-16.6476,-37.1633,124,129,64
-23.0887,-27.6217,-36.3616,57,63,32
-1.3101,-13.4582,-37.2845,96,101,44
15.2918,3.5899,-38.1222,62,69,76
-2.2801,-14.9896,-37.2450,139,131,77
-7.7385,-22.6027,-36.5422,55,58,32
-17.5826,-23.2803,-36.6515,14,24,6
-4.5599,-21.1297,-36.9343,66,71,51
-0.4140,-12.8414,-37.3736,135,130,75
-1.1111,-14.0142,-37.2452,78,84,22
29.0276,-4.6053,-33.3954,68,48,48
-3.7235,-4.6368,-26.0382,214,150,113
-1.0814,-15.4409,-37.2349,135,133,85
7.9222,-25.4941,-36.2006,203,198,193
3.2845,38.3529,-38.5953,228,220,211
-1.0814,-15.4409,-37.2349,135,133,85
-37.7995,-13.8069,-31.7066,23,41,17
-1.5969,-16.6179,-37.1126,38,44,21
9.9314,-22.9313,-36.2853,198,192,179
1.8024,-17.9777,-37.1918,139,129,76
-3.4133,-19.2934,-36.9886,122,113,72
28.2466,-4.3343,-31.7510,140,141,159
-4.6092,-13.4716,-37.2482,86,95,42
-14.7188,-24.9970,-36.6057,207,200,155
-3.9998,-20.2950,-36.9882,49,52,21
-3.9745,-20.2952,-36.9508,49,52,21
25.3709,-4.8895,-33.7493,158,174,187
-4.7254,-13.7604,-37.3017,90,92,39
-2.9022,-18.9155,-37.0707,92,100,49
22.5892,-21.3370,-36.4373,155,149,134
-3.7193,-20.1807,-36.8924,53,56,28
11.6956,-15.7225,-37.4041,104,103,56
0.3764,-0.9488,-25.5157,225,168,154
12.2761,-0.6651,-25.6128,220,153,118
-48.6903,-18.1590,-34.7328,39,39,48
0.5183,-12.6384,-37.3708,201,179,132
-5.6970,-22.4618,-37.0098,166,153,108
21.4744,-14.7841,-37.9764,113,109,64
-12.4273,24.0056,-38.2782,102,119,137
-5.7642,-22.5952,-36.9656,119,103,75
18.1225,-11.1250,-37.8947,71,78,94
-5.7633,-22.5941,-36.9665,119,103,75
-4.3818,-35.0650,-36.1232,149,147,149
-2.5260,-19.0533,-37.0679,118,123,56
-14.8802,-21.6340,-37.1691,44,44,38
6.0481,-12.2703,-37.3581,181,173,136
10.4621,-5.9080,-26.6812,199,211,220
-1.1219,-17.4849,-37.0989,43,48,22
9.7375,54.8211,-38.6317,235,235,235
